Education,Income,Recency,Wine,Fruits,Meat,Fish,Sweets,Gold,DealsPurchases,Web,Catalog,Store,WebVisits,Promo3,Promo4,Promo5,Promo1,Promo2,Complain,Z_CostContact,Z_Revenue,Promo6,Age,Age_Range,Customer_For,WebConversionRate,Total_Spent,Total_Purchases,Adults,Dependents,Household_size,Is_Parent,Offers_Accepted,cluster
2n Cycle,26907.0,10,9,1,7,0,3,2,2,1,0,3,7,0,0,0,0,0,0,3,11,0,38,Midlife,498.0,0.14285714285714285,22,4,2,2,4,1,0,2
Postgraduate,50014.0,9,234,14,77,19,10,42,2,4,1,8,5,0,0,0,0,0,0,3,11,0,46,Middle Age,343.0,0.8,396,13,1,1,2,1,0,3
PhD,41014.0,65,7,2,6,2,0,3,1,1,0,2,7,0,0,0,0,0,0,3,11,0,36,Midlife,618.0,0.14285714285714285,20,3,2,1,3,1,0,3
Postgraduate,66294.0,68,251,108,334,65,92,117,1,4,3,5,2,0,0,0,0,0,0,3,11,0,49,Middle Age,289.0,2.0,967,12,1,0,1,0,0,0
Postgraduate,36715.0,16,172,10,125,21,13,16,6,7,2,4,9,0,0,0,0,0,0,3,11,1,43,Midlife,774.0,0.7777777777777778,357,13,2,1,3,1,1,3
Postgraduate,79456.0,12,565,42,548,64,83,99,1,5,6,4,3,0,0,0,0,0,0,3,11,1,58,Pre-retirement,861.0,1.6666666666666667,1401,15,2,0,2,0,1,1
Postgraduate,40479.0,95,5,0,8,2,0,0,1,0,0,3,4,0,0,0,0,0,0,3,11,0,32,Early Adulthood,501.0,0.0,15,3,2,1,3,1,0,3
Postgraduate,75345.0,16,918,57,842,99,38,133,1,5,8,6,3,0,0,0,1,0,0,3,11,1,44,Midlife,697.0,1.6666666666666667,2087,19,1,0,1,0,2,1
Postgraduate,54233.0,46,652,8,158,21,0,142,4,11,6,5,8,0,0,0,0,0,0,3,11,0,37,Midlife,695.0,1.375,981,22,2,1,3,1,0,0
Postgraduate,24163.0,3,4,1,7,2,1,2,2,1,0,3,4,0,0,0,0,0,0,3,11,0,44,Midlife,445.0,0.25,17,4,1,2,3,1,0,2
PhD,84460.0,80,152,27,103,106,54,81,0,9,9,4,5,0,1,1,1,1,0,3,11,1,56,Pre-retirement,726.0,1.8,523,22,2,0,2,0,5,1
Postgraduate,43776.0,77,8,0,9,2,1,3,1,1,0,2,6,0,0,0,0,0,0,3,11,0,31,Early Adulthood,242.0,0.16666666666666666,23,3,2,1,3,1,0,3
PhD,71691.0,0,336,130,411,240,32,43,1,4,7,5,2,0,0,0,0,0,0,3,11,1,56,Pre-retirement,289.0,2.0,1192,16,1,0,1,0,1,1
PhD,85844.0,62,938,19,843,25,95,38,1,6,6,7,2,0,0,1,0,0,0,3,11,0,41,Midlife,216.0,3.0,1958,19,2,0,2,0,1,1
PhD,39190.0,91,68,8,18,19,8,12,2,2,1,4,5,0,0,0,0,0,0,3,11,0,40,Midlife,249.0,0.4,133,7,1,1,2,1,0,3
Postgraduate,71367.0,24,227,23,389,42,21,75,1,4,5,7,2,0,0,0,0,0,0,3,11,0,55,Pre-retirement,495.0,2.0,777,16,2,0,2,0,0,0
PhD,38578.0,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,0,3,11,0,42,Midlife,557.0,0.375,73,6,1,2,3,1,0,3
PhD,57236.0,22,105,0,9,2,1,4,3,2,1,4,3,0,0,0,0,0,0,3,11,0,49,Middle Age,294.0,0.6666666666666666,121,7,2,2,4,1,0,0
Postgraduate,61825.0,56,162,50,100,55,30,27,1,4,2,8,4,0,0,0,0,0,0,3,11,0,35,Midlife,511.0,1.0,424,14,1,1,2,1,0,0
Postgraduate,79803.0,54,574,8,216,21,16,33,1,4,3,5,1,0,0,0,0,0,0,3,11,0,56,Pre-retirement,212.0,4.0,868,12,1,1,2,1,0,1
2n Cycle,80910.0,71,160,80,369,67,39,41,1,3,3,8,1,0,0,0,0,0,0,3,11,0,28,Early Adulthood,791.0,3.0,756,14,1,0,1,0,0,1
Postgraduate,27590.0,38,6,0,5,0,0,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,32,Early Adulthood,617.0,0.14285714285714285,12,3,2,1,3,1,0,2
Postgraduate,56775.0,62,614,35,160,58,35,35,2,5,8,10,5,0,0,0,0,0,0,3,11,0,35,Midlife,728.0,1.0,937,23,2,1,3,1,0,0
Postgraduate,83829.0,78,897,161,430,186,161,27,0,4,7,6,1,1,0,1,1,0,0,3,11,1,39,Midlife,449.0,4.0,1862,17,1,0,1,0,4,1
2n Cycle,54210.0,18,70,54,109,80,9,45,2,4,1,7,5,0,0,0,0,0,0,3,11,0,35,Midlife,590.0,0.8,367,12,2,1,3,1,0,0
Postgraduate,38508.0,95,120,19,206,25,19,54,6,7,2,5,8,0,0,0,0,0,0,3,11,0,28,Early Adulthood,516.0,0.875,443,14,2,1,3,1,0,3
Postgraduate,53187.0,66,211,2,30,7,7,10,2,4,1,6,5,0,0,0,0,0,0,3,11,0,44,Midlife,431.0,0.8,267,11,2,1,3,1,0,0
Postgraduate,30023.0,28,11,0,16,7,6,21,1,2,0,3,8,0,0,0,0,0,0,3,11,0,42,Midlife,282.0,0.25,61,5,2,1,3,1,0,2
PhD,76045.0,78,760,53,400,17,93,0,1,4,5,11,2,0,0,0,1,0,0,3,11,0,54,Middle Age,411.0,2.0,1323,20,1,0,1,0,1,1
PhD,50870.0,13,53,0,8,0,0,2,1,2,0,3,5,0,0,0,0,0,0,3,11,0,62,Pre-retirement,195.0,0.4,63,5,2,1,3,1,0,3
2n Cycle,15315.0,27,7,4,13,15,8,17,2,2,0,4,5,0,0,0,0,0,0,3,11,0,44,Midlife,515.0,0.4,64,6,2,0,2,0,0,2
2n Cycle,65463.0,17,391,32,70,21,32,16,2,6,2,9,5,0,1,0,0,0,0,3,11,0,40,Midlife,335.0,1.2,562,17,2,1,3,1,1,0
Postgraduate,66480.0,71,199,9,57,20,21,6,7,4,1,7,4,0,0,0,0,0,0,3,11,0,49,Middle Age,214.0,1.0,312,12,2,2,4,1,0,0
Postgraduate,76773.0,79,516,56,449,86,33,16,1,2,2,11,1,0,0,0,0,0,0,3,11,0,60,Pre-retirement,674.0,2.0,1156,15,1,0,1,0,0,1
2n Cycle,81698.0,1,709,45,115,30,160,45,1,8,2,5,5,0,0,0,1,0,0,3,11,1,31,Early Adulthood,670.0,1.6,1104,15,1,0,1,0,2,1
PhD,54466.0,78,12,0,4,0,0,0,1,1,0,2,5,0,0,0,0,0,0,3,11,0,41,Midlife,325.0,0.2,16,3,1,2,3,1,0,0
Postgraduate,98777.0,23,1000,19,711,125,115,38,0,4,6,9,1,0,1,0,0,0,0,3,11,0,54,Middle Age,317.0,4.0,2008,19,1,0,1,0,1,1
PhD,16269.0,75,19,3,18,3,1,0,3,3,0,3,8,0,0,0,0,0,0,3,11,0,30,Early Adulthood,488.0,0.375,44,6,1,1,2,1,0,2
Postgraduate,71819.0,70,1224,28,140,0,14,168,3,3,3,5,6,0,1,1,0,0,0,3,11,0,43,Midlife,490.0,0.5,1574,11,2,1,3,1,2,1
PhD,33569.0,10,16,2,18,3,0,24,1,1,1,2,8,1,0,0,0,0,0,3,11,1,31,Early Adulthood,441.0,0.125,63,4,2,1,3,1,2,3
Postgraduate,36262.0,24,88,39,54,64,28,153,1,3,5,3,6,1,0,0,0,0,0,3,11,1,31,Early Adulthood,467.0,0.5,426,11,2,0,2,0,2,3
Basic,22634.0,47,2,23,11,8,6,46,1,2,1,2,8,0,0,0,0,0,0,3,11,0,48,Middle Age,714.0,0.25,96,5,2,0,2,0,0,2
2n Cycle,47025.0,98,508,11,59,23,5,29,5,11,1,6,9,0,0,0,0,0,0,3,11,0,36,Midlife,475.0,1.2222222222222223,635,18,2,1,3,1,0,3
Postgraduate,70566.0,4,381,28,215,84,28,21,2,6,5,9,3,0,0,0,0,0,0,3,11,0,46,Middle Age,451.0,2.0,757,20,1,1,2,1,0,0
PhD,31605.0,15,74,0,42,2,1,6,2,2,1,4,7,0,0,0,0,0,0,3,11,0,35,Midlife,769.0,0.2857142857142857,125,7,2,1,3,1,0,2
Postgraduate,52034.0,67,146,0,93,7,13,73,5,4,2,5,7,0,0,0,0,0,0,3,11,0,41,Midlife,593.0,0.5714285714285714,332,11,1,2,3,1,0,0
Postgraduate,48526.0,32,23,17,23,43,20,9,1,2,1,4,3,0,0,0,0,0,0,3,11,0,35,Midlife,372.0,0.6666666666666666,135,7,1,1,2,1,0,3
Postgraduate,46734.0,40,110,5,137,26,23,29,2,6,1,5,7,0,0,0,0,0,0,3,11,0,60,Pre-retirement,773.0,0.8571428571428571,330,12,2,1,3,1,0,3
Postgraduate,39552.0,54,165,3,147,4,24,41,7,6,2,5,8,0,0,0,0,0,0,3,11,1,52,Middle Age,743.0,0.75,384,13,1,2,3,1,1,3
Postgraduate,86358.0,78,957,47,494,82,47,95,4,5,3,6,8,0,0,0,0,0,0,3,11,0,48,Middle Age,875.0,0.625,1722,14,1,2,3,1,0,1
Postgraduate,46931.0,94,41,0,17,3,1,16,2,1,1,3,3,0,0,0,0,0,0,3,11,0,37,Midlife,251.0,0.3333333333333333,78,5,2,3,5,1,0,3
Basic,16581.0,51,1,3,4,2,3,11,1,0,0,3,4,0,0,0,0,0,0,3,11,0,29,Early Adulthood,718.0,0.0,24,3,1,0,1,0,0,2
2n Cycle,63998.0,42,176,29,818,0,33,112,1,7,6,11,4,0,0,0,0,0,0,3,11,1,62,Pre-retirement,376.0,1.75,1168,24,1,0,1,0,1,0
Postgraduate,67381.0,67,815,8,53,11,0,70,4,2,2,9,7,0,1,0,0,0,0,3,11,0,63,Pre-retirement,715.0,0.2857142857142857,957,13,2,1,3,1,1,0
Postgraduate,25930.0,87,6,1,2,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,47,Middle Age,447.0,0.14285714285714285,15,3,1,2,3,1,0,2
Postgraduate,42693.0,29,8,4,20,6,3,16,1,1,0,3,5,0,0,0,0,0,0,3,11,0,36,Midlife,207.0,0.2,57,4,2,1,3,1,0,3
Postgraduate,85606.0,89,717,42,864,219,30,84,2,6,7,9,3,0,0,0,1,0,0,3,11,0,38,Midlife,779.0,2.0,1956,22,2,1,3,1,1,1
Postgraduate,72903.0,74,1067,138,750,0,19,39,1,7,5,8,4,0,1,1,1,0,0,3,11,1,29,Early Adulthood,428.0,1.75,2013,20,1,0,1,0,4,1
2n Cycle,49669.0,97,166,5,107,11,8,29,2,5,1,6,6,0,0,0,0,0,0,3,11,0,40,Midlife,221.0,0.8333333333333334,326,12,2,1,3,1,0,3
PhD,36778.0,63,29,4,34,2,4,4,3,3,0,3,9,0,0,0,0,0,0,3,11,0,46,Middle Age,878.0,0.3333333333333333,77,6,2,2,4,1,0,3
PhD,85696.0,88,714,76,395,116,0,12,1,4,6,9,1,0,0,0,0,0,0,3,11,1,52,Middle Age,607.0,4.0,1313,19,1,0,1,0,1,1
Postgraduate,10979.0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,25,Early Adulthood,223.0,0.6,30,6,1,0,1,0,0,2
Postgraduate,49678.0,81,229,5,56,3,2,20,2,6,2,4,7,0,0,0,0,0,0,3,11,0,53,Middle Age,697.0,0.8571428571428571,315,12,2,1,3,1,0,3
Postgraduate,56129.0,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,3,11,0,61,Pre-retirement,559.0,1.5,660,18,2,1,3,1,0,0
Postgraduate,37155.0,51,23,0,26,7,15,3,1,2,0,4,5,0,0,0,0,0,0,3,11,0,25,Early Adulthood,699.0,0.4,74,6,2,1,3,1,0,3
2n Cycle,21282.0,76,1,5,8,4,8,20,2,2,1,2,6,0,0,0,0,0,0,3,11,0,36,Midlife,234.0,0.3333333333333333,46,5,1,1,2,1,0,2
PhD,33419.0,76,56,0,12,0,0,18,2,2,0,4,7,0,0,0,0,0,0,3,11,0,52,Middle Age,501.0,0.2857142857142857,86,6,1,1,2,1,0,3
Postgraduate,63285.0,84,508,124,249,50,38,134,1,6,5,13,3,0,0,0,0,0,0,3,11,0,69,Retirement Age,421.0,2.0,1103,24,1,0,1,0,0,0
Postgraduate,21255.0,56,29,0,25,2,2,3,4,2,1,4,4,0,0,0,0,0,0,3,11,0,40,Midlife,344.0,0.5,61,7,2,1,3,1,0,2
Postgraduate,42162.0,31,46,7,59,2,4,27,2,3,1,3,6,1,0,0,0,0,0,3,11,1,33,Early Adulthood,407.0,0.5,145,7,2,1,3,1,2,3
Postgraduate,54450.0,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,3,11,0,58,Pre-retirement,838.0,1.125,684,19,2,2,4,1,0,0
PhD,57744.0,91,350,3,39,0,0,19,2,9,1,4,8,0,0,0,0,0,0,3,11,0,60,Pre-retirement,414.0,1.125,411,14,2,1,3,1,0,0
Postgraduate,26576.0,40,10,0,8,0,0,9,1,1,0,2,9,1,0,0,0,0,0,3,11,1,28,Early Adulthood,809.0,0.1111111111111111,27,3,1,1,2,1,2,2
PhD,57513.0,59,735,40,183,52,20,30,2,9,3,13,6,0,0,0,0,0,0,3,11,0,71,Retirement Age,543.0,1.5,1060,25,1,0,1,0,0,0
Postgraduate,68142.0,96,897,126,196,91,112,37,3,10,4,7,6,0,0,0,0,0,0,3,11,0,50,Middle Age,854.0,1.6666666666666667,1459,21,2,1,3,1,0,0
Postgraduate,7500.0,61,5,2,3,3,0,5,1,1,0,2,8,0,0,0,0,0,0,3,11,0,35,Midlife,854.0,0.125,18,3,2,1,3,1,0,2
Postgraduate,83145.0,14,777,35,731,39,137,114,1,5,9,11,2,0,0,1,0,0,0,3,11,1,40,Midlife,830.0,2.5,1833,25,2,0,2,0,2,1
Postgraduate,54197.0,16,162,6,37,6,13,13,2,1,3,6,1,0,0,0,0,0,0,3,11,0,54,Middle Age,272.0,1.0,237,10,2,1,3,1,0,0
PhD,23091.0,98,35,0,11,0,0,2,4,2,1,3,7,0,0,0,0,0,0,3,11,0,51,Middle Age,217.0,0.2857142857142857,48,6,1,2,3,1,0,2
Postgraduate,46049.0,11,342,9,112,19,14,19,10,5,2,9,7,0,0,0,0,0,0,3,11,1,38,Midlife,528.0,0.7142857142857143,515,16,2,2,4,1,1,3
Postgraduate,56715.0,52,258,105,239,237,172,9,1,7,3,4,4,0,0,0,0,0,0,3,11,0,40,Midlife,756.0,1.75,1020,14,2,0,2,0,0,0
Postgraduate,79410.0,19,658,80,483,123,13,13,1,3,2,5,1,0,0,0,0,0,0,3,11,0,53,Middle Age,216.0,3.0,1370,10,2,0,2,0,0,1
Postgraduate,57304.0,61,356,80,329,138,17,106,2,7,6,10,5,0,0,0,0,0,0,3,11,0,63,Pre-retirement,660.0,1.4,1026,23,2,1,3,1,0,0
Postgraduate,44375.0,73,213,5,28,7,7,41,1,4,1,6,5,0,0,0,0,0,0,3,11,0,49,Middle Age,283.0,0.8,301,11,2,1,3,1,0,3
Postgraduate,54450.0,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,3,11,0,58,Pre-retirement,838.0,1.125,684,19,2,2,4,1,0,0
Postgraduate,59594.0,74,457,4,29,0,0,9,1,8,1,7,7,0,1,0,0,0,0,3,11,0,49,Middle Age,802.0,1.1428571428571428,499,16,2,1,3,1,1,0
Postgraduate,80685.0,55,241,45,604,34,26,54,1,6,4,10,2,0,0,0,0,0,0,3,11,0,20,Young Adults,861.0,3.0,1004,20,2,0,2,0,0,1
PhD,40344.0,48,210,0,6,0,0,2,2,4,1,5,7,0,0,0,0,0,0,3,11,0,40,Midlife,444.0,0.5714285714285714,218,10,2,1,3,1,0,3
Postgraduate,62710.0,53,441,35,83,7,29,11,4,4,2,12,4,0,0,0,0,0,0,3,11,0,42,Midlife,587.0,1.0,606,18,2,1,3,1,0,0
2n Cycle,48985.0,13,19,13,18,10,7,8,1,1,1,3,3,0,0,0,0,0,0,3,11,0,46,Middle Age,544.0,0.3333333333333333,75,5,2,1,3,1,0,3
Postgraduate,35322.0,34,28,9,37,12,7,13,3,2,0,4,8,0,0,0,0,0,0,3,11,0,46,Middle Age,861.0,0.25,106,6,2,3,5,1,0,3
Postgraduate,77142.0,54,476,75,162,29,151,97,1,4,4,8,2,0,0,0,0,0,0,3,11,0,66,Retirement Age,581.0,2.0,990,16,2,0,2,0,0,1
Postgraduate,81657.0,69,364,40,425,158,60,50,1,3,4,8,1,0,0,0,0,0,0,3,11,0,45,Middle Age,343.0,3.0,1097,15,1,0,1,0,0,1
Basic,14421.0,81,0,0,2,3,3,8,1,1,0,2,5,1,0,0,0,0,0,3,11,0,18,Young Adults,317.0,0.2,16,3,2,0,2,0,1,2
2n Cycle,20130.0,99,0,6,3,7,6,12,1,1,0,3,8,0,0,0,0,0,0,3,11,0,40,Midlife,289.0,0.125,34,4,2,0,2,0,0,2
PhD,74214.0,3,863,83,547,86,99,33,1,8,2,5,5,0,0,0,0,0,0,3,11,0,24,Young Adults,857.0,1.6,1711,15,2,0,2,0,0,1
Postgraduate,66726.0,61,349,7,35,0,0,47,3,8,2,4,7,0,1,0,0,0,0,3,11,0,57,Pre-retirement,353.0,1.1428571428571428,438,14,2,2,4,1,1,0
Basic,23724.0,65,5,23,15,0,18,14,2,2,0,3,8,0,0,0,0,0,0,3,11,0,35,Midlife,722.0,0.25,75,5,2,1,3,1,0,2
Postgraduate,47353.0,93,184,2,19,8,8,4,3,2,2,6,5,0,0,0,0,0,0,3,11,0,54,Middle Age,413.0,0.4,225,10,2,1,3,1,0,3
Postgraduate,33444.0,24,8,0,8,0,0,2,1,1,0,2,8,0,0,0,0,0,0,3,11,0,62,Pre-retirement,788.0,0.125,18,3,2,2,4,1,0,3
Postgraduate,54386.0,8,277,21,64,62,21,25,2,3,2,10,3,0,0,0,0,0,0,3,11,0,33,Early Adulthood,593.0,1.0,470,15,2,1,3,1,0,0
Postgraduate,28510.0,72,44,5,19,0,4,19,3,2,0,4,5,0,0,0,0,0,0,3,11,0,33,Early Adulthood,627.0,0.4,91,6,1,2,3,1,0,2
Postgraduate,90638.0,29,1156,120,915,94,144,96,1,3,4,10,1,0,0,1,0,0,0,3,11,0,23,Young Adults,321.0,3.0,2525,17,1,0,1,0,1,1
Postgraduate,48070.0,33,373,14,83,6,9,19,3,8,2,6,7,0,0,0,0,0,1,3,11,0,64,Pre-retirement,717.0,1.1428571428571428,504,16,2,1,3,1,0,3
Postgraduate,43140.0,68,134,8,76,6,0,11,1,4,1,5,6,0,0,0,0,0,0,3,11,0,57,Pre-retirement,725.0,0.6666666666666666,235,10,2,1,3,1,0,3
PhD,54959.0,55,1148,0,60,0,0,24,3,9,5,4,7,0,1,0,0,0,0,3,11,1,53,Middle Age,711.0,1.2857142857142858,1232,18,1,1,2,1,2,0
Basic,15056.0,76,6,12,3,21,6,40,5,2,2,3,5,0,0,0,0,0,0,3,11,0,56,Pre-retirement,607.0,0.4,88,7,1,2,3,1,0,2
Postgraduate,26954.0,17,4,1,11,0,0,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,43,Midlife,237.0,0.14285714285714285,17,3,1,1,2,1,0,2
Postgraduate,22327.0,94,5,4,8,2,0,5,1,1,0,3,5,0,0,0,0,0,0,3,11,0,29,Early Adulthood,516.0,0.2,24,4,1,1,2,1,0,2
Postgraduate,44393.0,86,24,2,20,2,2,10,2,1,0,4,4,0,0,0,0,0,0,3,11,0,49,Middle Age,496.0,0.25,60,5,2,2,4,1,0,3
PhD,62000.0,25,899,0,101,0,0,20,1,6,6,13,4,0,0,0,1,0,0,3,11,0,62,Pre-retirement,493.0,1.5,1020,25,1,1,2,1,1,0
PhD,31497.0,22,108,1,28,13,1,4,2,3,1,4,8,0,0,0,0,0,0,3,11,0,52,Middle Age,755.0,0.375,155,8,2,1,3,1,0,2
2n Cycle,45894.0,15,27,2,7,0,2,13,1,1,0,3,5,0,0,0,0,0,0,3,11,0,40,Midlife,307.0,0.2,51,4,2,2,4,1,0,3
Postgraduate,78579.0,35,816,66,549,216,66,99,1,5,6,4,3,0,0,0,0,0,0,3,11,1,44,Midlife,739.0,1.6666666666666667,1812,15,1,0,1,0,1,1
Postgraduate,67369.0,81,1298,0,70,37,14,42,4,7,4,10,4,0,1,1,0,0,0,3,11,1,45,Middle Age,774.0,1.75,1461,21,1,1,2,1,3,1
Postgraduate,58401.0,55,10,0,11,17,29,29,1,1,2,2,4,0,0,0,0,0,0,3,11,0,54,Middle Age,255.0,0.25,96,5,1,1,2,1,0,0
Postgraduate,62307.0,94,87,13,34,10,6,10,1,4,0,4,5,0,0,0,0,0,0,3,11,0,62,Pre-retirement,317.0,0.8,160,8,1,1,2,1,0,0
Postgraduate,43641.0,50,57,2,51,4,2,23,3,2,1,4,6,0,0,0,0,0,0,3,11,0,45,Middle Age,618.0,0.3333333333333333,139,7,2,2,4,1,0,3
Postgraduate,63841.0,64,635,15,100,20,7,131,1,9,3,9,6,0,0,0,0,0,0,3,11,0,46,Middle Age,619.0,1.5,908,21,1,1,2,1,0,0
2n Cycle,46891.0,91,43,12,23,29,15,61,1,2,1,4,4,0,0,0,0,0,0,3,11,0,49,Middle Age,486.0,0.5,183,7,2,1,3,1,0,3
Postgraduate,70091.0,11,964,34,137,15,0,11,2,5,2,10,8,0,1,0,0,0,0,3,11,0,45,Middle Age,640.0,0.625,1161,17,2,1,3,1,1,1
PhD,78075.0,72,572,8,259,34,35,80,1,3,5,5,1,0,0,0,0,0,0,3,11,0,42,Midlife,270.0,3.0,988,13,2,0,2,0,0,1
2n Cycle,59184.0,6,341,142,113,259,151,66,3,6,6,12,5,0,0,0,0,0,0,3,11,0,53,Middle Age,843.0,1.2,1072,24,1,1,2,1,0,0
Postgraduate,54809.0,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,0,3,11,0,37,Midlife,476.0,0.5,174,8,2,2,4,1,0,0
Postgraduate,58113.0,66,221,104,169,102,78,84,3,9,2,8,7,0,0,0,0,0,1,3,11,0,55,Pre-retirement,705.0,1.2857142857142858,758,19,2,1,3,1,0,0
Postgraduate,51412.0,42,140,3,29,4,5,14,2,3,2,4,4,0,0,0,0,0,0,3,11,0,56,Pre-retirement,365.0,0.75,195,9,2,1,3,1,0,3
Postgraduate,15287.0,60,1,2,8,4,3,13,2,1,1,2,7,1,0,0,0,0,0,3,11,1,35,Midlife,812.0,0.14285714285714285,31,4,1,1,2,1,2,2
Postgraduate,66636.0,64,291,10,689,84,10,0,1,3,4,9,1,0,0,0,0,0,0,3,11,0,57,Pre-retirement,501.0,3.0,1084,16,2,0,2,0,0,0
Postgraduate,50965.0,87,544,13,85,8,6,29,3,10,4,5,8,1,0,0,0,0,0,3,11,0,58,Pre-retirement,679.0,1.25,685,19,2,1,3,1,1,0
PhD,84618.0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,49,Middle Age,404.0,3.0,1672,25,2,0,2,0,1,1
Postgraduate,18351.0,1,1,12,9,0,14,7,1,2,0,3,7,0,0,0,0,0,0,3,11,0,24,Young Adults,428.0,0.2857142857142857,43,5,2,0,2,0,0,2
PhD,40451.0,54,35,0,4,0,0,10,1,1,1,2,5,1,0,0,0,0,0,3,11,0,57,Pre-retirement,318.0,0.2,49,4,2,2,4,1,1,3
Postgraduate,36317.0,53,87,3,25,3,2,13,2,3,0,4,7,0,0,0,0,0,0,3,11,0,49,Middle Age,588.0,0.42857142857142855,133,7,2,1,3,1,0,3
Postgraduate,42213.0,96,309,3,24,4,3,20,2,5,1,7,7,0,1,0,0,0,0,3,11,0,57,Pre-retirement,445.0,0.7142857142857143,363,13,2,1,3,1,1,3
Postgraduate,65748.0,58,172,73,93,95,78,34,2,2,4,10,1,0,0,0,0,0,1,3,11,0,59,Pre-retirement,625.0,2.0,545,16,2,1,3,1,0,0
Postgraduate,77044.0,12,625,38,242,50,34,76,2,7,11,11,4,1,0,0,0,0,0,3,11,0,42,Midlife,430.0,1.75,1065,29,2,1,3,1,1,1
Postgraduate,74918.0,78,972,59,913,25,19,59,1,5,9,6,3,0,0,1,0,0,0,3,11,0,45,Middle Age,659.0,1.6666666666666667,2047,20,2,0,2,0,1,1
Postgraduate,56721.0,64,157,6,39,6,13,75,5,4,1,5,6,0,0,0,0,0,0,3,11,0,42,Midlife,791.0,0.6666666666666666,296,10,2,2,4,1,0,0
Postgraduate,42160.0,26,48,9,45,3,15,20,4,2,1,4,6,0,0,0,0,0,0,3,11,1,39,Midlife,551.0,0.3333333333333333,140,7,1,2,3,1,1,3
Postgraduate,61559.0,8,279,83,88,32,14,34,1,4,2,10,3,0,0,0,0,0,0,3,11,0,49,Middle Age,532.0,1.3333333333333333,530,16,1,1,2,1,0,0
PhD,33629.0,49,132,0,16,0,0,4,5,3,1,4,9,0,0,0,0,0,0,3,11,0,51,Middle Age,875.0,0.3333333333333333,152,8,2,2,4,1,0,3
PhD,68682.0,56,919,0,505,99,30,45,1,4,9,10,2,0,0,0,0,0,0,3,11,0,23,Young Adults,451.0,2.0,1598,23,2,0,2,0,0,0
Postgraduate,34377.0,55,62,0,22,3,1,26,2,2,2,2,7,0,0,0,0,0,0,3,11,0,51,Middle Age,711.0,0.2857142857142857,114,6,1,1,2,1,0,3
Basic,8940.0,25,1,45,3,4,6,42,3,3,1,3,8,0,0,0,0,0,0,3,11,0,28,Early Adulthood,861.0,0.375,101,7,1,1,2,1,0,2
Postgraduate,26228.0,50,2,6,4,3,1,9,1,1,0,2,8,0,0,0,0,0,0,3,11,0,41,Midlife,465.0,0.125,25,3,2,1,3,1,0,2
2n Cycle,77297.0,84,408,61,109,48,122,41,1,5,7,9,4,0,0,0,1,0,0,3,11,0,57,Pre-retirement,704.0,1.25,789,21,1,0,1,0,1,1
Postgraduate,40211.0,30,51,1,7,2,1,25,2,2,1,2,8,1,0,0,0,0,0,3,11,0,33,Early Adulthood,519.0,0.25,87,5,2,2,4,1,1,3
PhD,33438.0,81,62,1,16,3,2,6,4,2,1,4,5,0,0,0,0,0,0,3,11,0,56,Pre-retirement,465.0,0.4,90,7,1,2,3,1,0,3
PhD,75032.0,74,952,12,180,47,12,12,2,5,4,9,3,0,0,0,0,0,0,3,11,0,55,Pre-retirement,612.0,1.6666666666666667,1215,18,2,1,3,1,0,1
PhD,61284.0,76,618,15,106,20,7,45,1,11,2,8,6,0,1,0,0,0,0,3,11,0,59,Pre-retirement,445.0,1.8333333333333333,811,21,1,0,1,0,1,0
Postgraduate,22518.0,36,11,7,12,2,2,27,2,2,1,2,5,1,0,0,0,0,0,3,11,1,28,Early Adulthood,800.0,0.4,61,5,2,1,3,1,2,2
Postgraduate,54730.0,64,318,3,17,4,7,56,5,4,1,8,4,0,0,0,0,0,0,3,11,0,39,Midlife,503.0,1.0,405,13,2,1,3,1,0,0
Postgraduate,38452.0,62,56,0,14,0,0,2,3,3,0,3,7,0,0,0,0,0,0,3,11,0,59,Pre-retirement,276.0,0.42857142857142855,72,6,2,2,4,1,0,3
Postgraduate,44421.0,53,110,5,59,7,1,7,5,5,0,4,8,0,0,0,0,0,0,3,11,0,43,Midlife,684.0,0.625,189,9,1,2,3,1,0,3
PhD,38197.0,86,23,0,11,2,1,3,1,1,0,3,5,0,0,0,0,0,0,3,11,0,28,Early Adulthood,550.0,0.2,40,4,2,1,3,1,0,3
Postgraduate,41986.0,15,27,5,8,8,3,12,3,3,0,4,4,0,0,0,0,0,0,3,11,0,36,Midlife,325.0,0.75,63,7,1,1,2,1,0,3
Postgraduate,28427.0,67,18,3,19,3,3,6,2,2,0,3,8,0,0,0,0,0,0,3,11,0,31,Early Adulthood,650.0,0.25,52,5,2,1,3,1,0,2
